"","Country","peaceavg","peacerank","justavg","justrank","instavg","instrank","econavg","econrank","resilavg","resilrank"
"1","Afghanistan",54.8828594798844,5,19.2174050383006,9,23.2780335777453,270,30.4120349468946,191,61.1173366394863,362
"2","Albania",88.8609640295743,365,54.5075078124119,346,53.2153092582042,360,59.3076661466515,398,59.627748725312,360
"3","Algeria",78.2630625556308,293,55.6661138750691,354,33.1189610908811,290,31.159316275621,259,57.3513864825676,351
"4","Angola",84.3654625434318,325,22.7372209248542,141,27.1968684372772,279,44.4233932253419,333,52.4094031087021,334
"5","Argentina",87.5190144888578,353,55.7941584594037,355,46.5021298314713,339,53.2954924778819,375,63.526218746523,369
"6","Armenia",89.0047030721472,367,58.8858428943717,365,51.2306292163128,357,59.8606774517199,402,63.2024736099411,368
"7","Australia",96.4288426009439,421,92.9473945465417,429,91.8490045648339,431,63.5917322664273,421,87.8240939427817,424
"8","Austria",99.0947971453802,437,91.4791123746348,426,89.3307158132891,429,48.6798551203839,346,91.5301200776381,430
"9","Azerbaijan",84.9847259213671,336,50.5584323281551,330,35.9573154662131,302,76.9190336972202,435,61.139951643981,363
"10","Bahamas",97.3586690859958,428,71.4074186888686,396,69.4645884768565,394,31.8280485411128,262,55.2050053248136,343
"11","Bahrain",77.8414620199512,289,57.2545436084882,360,51.7889345785132,358,52.3720713189429,369,84.4826056088037,412
"12","Bangladesh",73.5503301818388,276,28.0034070012748,148,37.3454526094005,307,29.7635920284723,188,46.121230906172,44
"13","Barbados",98.7202550435114,433,79.0520188174772,411,77.4810695982341,412,41.953936420821,323,72.994320198793,391
"14","Belarus",88.0864308881838,358,54.0872733836487,343,25.7902576165429,276,62.9311703829501,418,70.0429252389102,385
"15","Belgium",95.7053429210452,414,89.223948285782,423,87.3097386677346,426,52.3088256487033,368,89.160798775028,427
"16","Belize",89.7958779441361,378,60.1899798061845,372,54.8652594744042,364,53.3020816763285,376,43.8224744223504,37
"17","Benin",90.2578908212868,382,46.6793019031825,318,47.7518520124078,344,24.9161694847258,149,37.734040129491,18
"18","Bermuda",94.5238095238095,402,76.6592209022913,407,80.1836315200608,416,NA,437,NA,439
"19","Bhutan",94.8297155401813,405,73.7395787502397,400,47.0861012025179,341,49.7886902042798,356,54.295490951349,341
"20","Bolivia, Plurinational State Of",84.9616055290868,335,43.983032682393,310,44.2838882489589,329,38.1581381639138,312,51.0380030977523,322
"21","Bosnia And Herzegovina",85.5258444956135,341,62.0170124434517,379,48.6797797264678,348,38.0066847803973,311,69.2756663964522,384
"22","Botswana",96.7141159368003,423,67.6904592682844,391,65.0577433591782,388,57.0296779711015,388,47.4268169270792,48
"23","Brazil",54.5078928845548,4,60.8431764082084,373,57.0842545228599,370,42.2902123794005,325,46.9136391171583,47
"24","Brunei Darussalam",97.0610161418302,425,63.5605983687007,383,64.559901918689,387,38.2399045294913,313,58.8347532836351,356
"25","Bulgaria",89.8298511263675,379,61.6633386356201,378,61.760908397808,382,60.0616853829342,404,70.6022249420275,388
"26","Burkina Faso",81.8125868783226,311,48.4877201295112,324,45.6193309428852,334,31.1556741811266,258,42.9734183184186,35
"27","Burundi",77.7281119682516,288,37.0849832470302,291,31.2479434508327,288,24.4882102849667,148,55.5569684414279,345
"28","Cambodia",86.7022786732361,348,36.3432271747837,290,36.1741553956419,303,41.9539970636969,324,49.0323939408389,309
"29","Cameroon",83.4432111996548,318,34.0570390677001,286,31.8089710958078,289,30.7287229379963,192,48.6577142685578,308
"30","Canada",96.3307666278772,420,93.7839148926569,432,92.5640953523193,432,59.8001712855684,400,89.0325263988895,426
"31","Cape Verde",94.9156830773112,407,72.0778195191841,398,61.6652079015526,381,39.9411374132989,318,58.1927953417153,353
"32","Central African Republic",70.9889969583673,174,29.4051285522501,278,19.184332690651,137,14.5959992722628,68,32.6357915781405,10
"33","Chad",79.2452624418011,297,15.5859026861159,3,23.3995058777225,271,35.2301055422948,267,38.0904140991881,20
"34","Chile",91.0720387092667,385,87.5181913561444,422,83.7730409197376,421,59.8374806004166,401,56.8146752923349,349
"35","China",75.7162782417183,282,38.1206213828815,294,38.1816948717525,309,61.2366197502903,412,56.8204340510343,350
"36","Colombia",69.357818912602,109,57.0559898918108,359,56.2434278158983,368,57.3550173989411,390,43.2068094034619,36
"37","Comoros",86.5518133768152,347,47.1683532451123,321,29.3277965628191,286,20.51856631793,139,33.5546530747046,12
"38","Congo, Republic Of",84.471396620249,326,43.9587775408671,309,25.1947348212737,274,27.0230107660769,184,45.1231153427043,42
"39","Congo, The Democratic Republic Of",58.4321400440591,6,18.1411536422197,7,20.0205568904633,266,11.7766958051606,67,25.6094527363184,6
"40","Costa Rica",93.5421242700452,398,73.7976782752902,401,70.8029865463323,396,51.4555910658928,364,39.7927693799374,24
"41","Cote D'Ivoire",78.6822555410537,295,39.6413623492515,298,34.2056843328627,295,21.5546740281288,142,40.536375629838,27
"42","Croatia",93.3044475806119,397,52.0052797238298,337,66.5410821284759,392,52.8973519279537,370,79.4082833966483,401
"43","Cuba",91.1611718890929,387,61.3593032569578,376,26.8334148727984,277,56.4315352697095,387,51.2468938587149,324
"44","Cyprus",92.6132704685033,395,82.9666858451507,417,79.2803462709285,415,49.6952416563279,355,82.7431664891729,410
"45","Czech Republic",96.7601975549684,424,74.2602181834591,403,76.9583792637915,410,68.7926905117201,431,86.3653157711619,417
"46","Denmark",96.0028602790246,419,99.244142101285,440,96.612348309071,439,57.6268973486481,391,86.5861586635513,419
"47","Djibouti",87.4951159497694,352,53.0121501336853,340,28.8255125976753,285,9.65752480529275,65,50.7906774257926,320
"48","Dominican Republic",89.4957372882055,370,47.609458377049,323,50.1774678934056,351,49.5335268663863,354,52.5232905405525,335
"49","Ecuador",85.4943118647345,340,49.4861294434855,326,40.879509786112,314,44.4255323800023,334,48.0313201475759,51
"50","Egypt",74.4142912556342,278,55.2757753184192,350,33.2919701173343,292,38.9468355062308,315,75.8011769339317,394
"51","El Salvador",85.5501262130542,343,56.7440574903261,357,54.9451475073007,365,43.9145710822269,332,40.7571037252502,28
"52","Equatorial Guinea",89.0535317843496,368,26.1526832955404,147,14.6950596029406,5,37.0725467961499,273,41.782037628683,30
