"","Country","peace","just","inst","econ","resil","sum","fragile","reppeace","repjust","repinst","repecon","represil","repsum","repfrag","allmatch","toarrow"
"1","Afghanistan",1,1,1,1,0,4,TRUE,1,1,0,1,1,4,1,3,1
"2","Albania",0,0,0,0,0,0,FALSE,-1,-1,-1,-1,-1,-1,-1,-1,0
"3","Algeria",1,0,1,1,0,3,TRUE,1,0,1,1,0,3,1,5,0
"4","Angola",0,1,1,0,0,2,TRUE,0,1,1,0,1,3,1,4,1
"5","Antigua and Barbuda",0,0,0,0,0,0,FALSE,-1,-1,-1,-1,-1,-1,-1,-1,0
"6","Argentina",0,0,0,0,0,0,FALSE,-1,-1,-1,-1,-1,-1,-1,-1,0
"7","Armenia",0,0,0,0,0,0,FALSE,-1,-1,-1,-1,-1,-1,-1,-1,0
"8","Australia",0,0,0,0,0,0,FALSE,-1,-1,-1,-1,-1,-1,-1,-1,0
"9","Austria",0,0,0,0,0,0,FALSE,-1,-1,-1,-1,-1,-1,-1,-1,0
"10","Azerbaijan",0,0,1,0,0,1,FALSE,-1,-1,-1,-1,-1,-1,-1,-1,0
"11","Bahamas",0,0,0,1,0,1,FALSE,-1,-1,-1,-1,-1,-1,-1,-1,0
"12","Bahrain",1,0,0,0,0,1,FALSE,-1,-1,-1,-1,-1,-1,-1,-1,0
"13","Bangladesh",1,1,0,1,1,4,TRUE,1,1,1,0,0,3,1,2,1
"14","Barbados",0,0,0,0,0,0,FALSE,-1,-1,-1,-1,-1,-1,-1,-1,0
"15","Belarus",0,0,1,0,0,1,FALSE,-1,-1,-1,-1,-1,-1,-1,-1,0
"16","Belgium",0,0,0,0,0,0,FALSE,-1,-1,-1,-1,-1,-1,-1,-1,0
"17","Belize",0,0,0,0,1,1,FALSE,-1,-1,-1,-1,-1,-1,-1,-1,0
"18","Benin",0,0,0,1,1,2,TRUE,0,0,0,1,1,2,1,5,0
"19","Bermuda",0,0,0,0,0,0,FALSE,-1,-1,-1,-1,-1,-1,-1,-1,0
"20","Bhutan",0,0,0,0,0,0,FALSE,-1,-1,-1,-1,-1,-1,-1,-1,0
"21","Bolivia, Plurinational State of",0,0,0,0,0,0,FALSE,-1,-1,-1,-1,-1,-1,-1,-1,0
"22","Bosnia and Herzegovina",0,0,0,0,0,0,FALSE,-1,-1,-1,-1,-1,-1,-1,-1,0
"23","Botswana",0,0,0,0,1,1,FALSE,-1,-1,-1,-1,-1,-1,-1,-1,0
"24","Brazil",1,0,0,0,1,2,TRUE,-1,-1,-1,-1,-1,-1,-1,-1,1
"25","Brunei Darussalam",0,0,0,0,0,0,FALSE,-1,-1,-1,-1,-1,-1,-1,-1,0
"26","Bulgaria",0,0,0,0,0,0,FALSE,-1,-1,-1,-1,-1,-1,-1,-1,0
"27","Burkina Faso",0,0,0,1,1,2,TRUE,0,0,0,1,1,2,1,5,0
"28","Burundi",1,1,1,1,0,4,TRUE,1,1,0,1,1,4,1,3,1
"29","Cabo Verde",0,0,0,0,0,0,FALSE,-1,-1,-1,-1,-1,-1,-1,-1,0
"30","Cambodia",0,1,1,0,0,2,TRUE,0,1,1,0,0,2,1,5,0
"31","Cameroon",0,1,1,1,0,3,TRUE,0,1,1,1,0,3,1,5,0
"32","Canada",0,0,0,0,0,0,FALSE,-1,-1,-1,-1,-1,-1,-1,-1,0
"33","Central African Republic",1,1,1,1,1,5,TRUE,1,1,1,1,1,5,1,5,0
"34","Chad",1,1,1,1,1,5,TRUE,1,1,1,1,1,5,1,5,0
"35","Chile",0,0,0,0,0,0,FALSE,-1,-1,-1,-1,-1,-1,-1,-1,0
"36","China",1,1,0,0,0,2,TRUE,-1,-1,-1,-1,-1,-1,-1,-1,1
"37","Colombia",1,0,0,0,1,2,TRUE,1,0,1,0,1,2,1,4,1
"38","Comoros",0,0,1,1,1,3,TRUE,0,0,1,1,1,3,1,5,0
"39","Congo",0,0,1,1,1,3,TRUE,0,0,1,1,1,3,1,5,0
"40","Congo, the Democratic Republic of the",1,1,1,1,1,5,TRUE,1,1,1,1,1,5,1,5,0
"41","Costa Rica",0,0,0,0,1,1,FALSE,-1,-1,-1,-1,-1,-1,-1,-1,0
"42","Cote d'Ivoire",1,1,1,1,1,5,TRUE,1,1,1,1,1,5,1,5,0
"43","Croatia",0,0,0,0,0,0,FALSE,-1,-1,-1,-1,-1,-1,-1,-1,0
"44","Cuba",0,0,1,0,0,1,FALSE,-1,-1,-1,-1,-1,-1,-1,-1,0
