"","Country","peaceavg","peacerank","justavg","justrank","instavg","instrank","econavg","econrank","resilavg","resilrank"
"1","Afghanistan",48.0152110142812,2,29.3257570064769,14,13.2690719499765,4,31.5809325739227,32,40.512705871527,66
"2","Albania",85.1869712419456,93,71.7144576266786,123,36.1684960428679,75,51.9829250089293,102,56.8975488460392,109
"3","Algeria",76.7677073551936,42,53.3378679224037,67,34.5526156581433,71,35.8328277654659,48,51.3676690932151,96
"4","Angola",81.6298870140964,74,32.7869214411375,17,20.3765311679885,21,45.5796535249688,78,33.7162098634291,46
"5","Antigua and Barbuda",95.1764705882353,154,71.050407941713,120,70.3750392695116,148,43.7728192677674,74,50,87
"6","Argentina",87.0002246863696,107,65.8431354993229,103,37.259413364941,81,48.1013016078275,86,59.3622658720871,117
"7","Armenia",88.8675477951973,120,68.384797036407,112,40.849466414793,93,71.7430215610254,170,59.1975086369519,115
"8","Australia",96.4962222413635,167,96.4956557098783,175,90.7140123220525,173,70.4425509452102,166,92.2993496530216,169
"9","Austria",99.2430379129158,181,94.2304320414246,173,85.5765690313429,169,60.4435190976819,132,95.4504918111493,173
"10","Azerbaijan",81.5421407867716,73,54.7934664459062,69,27.6652371878503,40,79.0170943084472,177,54.8429545077187,103
"11","Bahamas",93.2159262511949,144,71.7554923839688,124,71.5936905384142,152,40.6528484907027,62,49.3214716525935,85
"12","Bahrain",79.2132138079231,58,47.289621828519,46,58.0605285504783,130,54.6533794752508,111,71.8385605146763,138
"13","Bangladesh",77.4978747111517,48,36.7623574594637,23,28.207327930946,42,34.0123343278968,41,45.4112129341231,76
"14","Barbados",95.4980402702674,158,75.6899754899218,139,80.9076641739958,162,47.0569016464211,83,65.9831121833534,132
"15","Belarus",87.9222298669955,113,49.6446598247362,56,30.2370678124447,52,60.8680149672605,135,66.3287803043488,133
"16","Belgium",95.6164488347968,160,91.1562265671341,169,84.1435027992817,167,61.2587236425362,136,90.9231686361118,166
"17","Belize",78.9515210957904,57,71.3910217420451,122,44.0179981260383,104,56.9593327496022,121,35.7503395767443,50
"18","Benin",88.0578406359405,116,61.848254651437,88,31.9274470907637,57,23.4787572550082,15,23.7366744884344,18
"19","Bermuda",95.2941176470588,156,84.0933509417914,150,75.5668219612943,159,NA,180,NA,181
"20","Bhutan",94.1338046609035,148,59.8814413567466,83,60.5295999517105,134,52.350812277048,104,45.4523322270833,77
"21","Bolivia, Plurinational State of",79.5125729373015,59,55.4623982753335,72,32.0997184941909,58,39.7569513778819,59,36.6953631520724,53
"22","Bosnia and Herzegovina",84.3186168760241,87,69.1745662238438,113,40.8354151318975,92,32.089164614252,33,64.2670443520236,129
"23","Botswana",89.9683548660359,128,70.5788194338966,119,64.636103668767,140,58.996268293419,126,36.5984112409405,52
"24","Brazil",76.7502524376946,41,72.6810689357275,129,46.29843182607,111,38.9944943227037,57,39.100536721299,64
"25","Brunei Darussalam",95.622007142884,161,62.8249823728889,93,66.3466595878656,143,43.5729546487133,71,73.9294330518697,141
"26","Bulgaria",90.935605534421,132,77.9840180859755,142,46.7508406076245,113,64.1251062859342,143,68.720690876138,135
"27","Burkina Faso",81.0249579419939,69,59.2309607976552,82,36.2765163518932,77,32.1156866070849,35,26.6584848175688,25
"28","Burundi",72.2992041252565,21,47.5407391639043,47,18.0734892041425,16,20.3202095095181,13,38.4932994856838,62
"29","Cabo Verde",94.4900089206377,149,75.9009583621028,140,59.6224605144203,132,42.2439944332169,66,51.2676364858458,95
"30","Cambodia",85.2927323696576,95,47.2287920215595,45,26.3289968817607,35,37.4665502954538,52,45.1238479896457,75
"31","Cameroon",81.2412783923974,70,41.9965264255919,33,23.4226277442358,31,30.5435071802907,28,37.9518271129275,59
"32","Canada",96.9816041616075,171,95.3992307491429,174,91.0950466226848,174,69.9188176466866,164,89.5505984352464,164
"33","Central African Republic",69.3135596243596,15,38.8824034722953,27,19.2191849227025,20,14.0747782658588,5,9.57604418598604,6
"34","Chad",77.5506759107991,49,22.8967512288348,6,15.9788843205929,9,35.3904757341447,44,18.0099502487562,10
"35","Chile",90.2294984621497,130,90.7629293841296,167,81.4474296132588,164,63.9378598521571,142,63.0211127714864,126
"36","China",84.4093991597698,88,33.3185974415507,19,40.961784077362,94,57.9354664533178,122,50.2744817158597,92
"37","Colombia",62.8481071952961,11,71.8299236740952,125,42.1381203039494,96,60.2760780016993,131,35.5392918799649,49
"38","Comoros",82.0729993708523,76,51.4737071872095,60,23.0653609296825,29,21.9915601762195,14,14.2245447471129,7
"39","Congo",79.953082742457,65,47.8548256943095,50,21.1585740605841,22,27.012388471133,22,28.0171818831056,29
"40","Congo, the Democratic Republic of the",58.4785821483851,5,22.4460712422315,5,12.7686960601533,2,10.9283235660996,3,25.6094527363184,23
"41","Costa Rica",89.6514409865318,125,83.9018776137555,149,60.7158368967414,135,47.2679982033932,84,55.6336081954522,104
"42","Cote d'Ivoire",73.3400578265026,25,46.3874415027732,41,24.5143167379348,32,17.3520124487349,6,23.3082376617115,17
"43","Croatia",93.1905486804883,143,67.369979071303,111,55.1300866878756,127,53.4390438605281,106,76.9059207380868,146
"44","Cuba",89.802342466682,127,46.9377324633561,44,43.129855529353,100,73.2743362831858,172,51.6334941696824,98
"45","Cyprus",93.5453420758772,145,87.4825127866504,161,77.4706113148324,161,60.8640188018721,134,76.2917169280257,144
"46","Czech Republic",96.8642166522862,169,86.5345659253954,158,65.1036509327967,141,67.3607254262757,152,86.3171276708536,159
"47","Denmark",95.9102232236896,162,98.2354235916032,182,97.4406224406224,182,65.7626303960085,150,89.2749861468692,163
"48","Djibouti",86.2246993817271,98,52.9121258916433,66,31.2690019850824,56,4.60181026857651,2,39.1449367557068,65
"49","Dominican Republic",87.1365252963182,109,64.0443669493628,98,32.2353474991666,60,49.707951476547,91,50.147193265678,91
"50","Ecuador",77.1782324593748,45,56.9064890228455,75,30.4745849092583,53,42.7255450503789,68,42.7244557269943,69
"51","Egypt",76.5432750576284,39,60.4495212148496,85,34.411927916953,70,42.1947959807447,65,63.2842322364854,128
"52","El Salvador",57.4117647058824,4,72.2417787161646,126,38.7034819195623,85,39.5885317618699,58,43.1345784147217,71
"53","Equatorial Guinea",82.4987490929039,78,28.8589326341722,13,13.6207621509129,5,46.0868973900575,79,18.5363892239646,11
"54","Eritrea",80.5669541533272,67,4.23442378932524,2,21.5356779804016,24,12.3845711898712,4,15.0532770406112,9
"55","Estonia",92.1700947796687,137,90.3149750235961,166,72.5944491773638,155,71.4574689290372,169,80.0545123197843,151
"56","Ethiopia",71.7113990558745,20,20.4960304453955,4,35.2905017854767,73,49.4541471221615,90,31.1462190455043,41
"57","Fiji",87.229656903869,110,38.5776320354557,26,32.1164757722547,59,55.3889932166058,115,52.7851394415138,102
"58","Finland",99.2130564377159,179,97.8718760842072,180,98.5004568296026,183,67.8085228857744,156,96.5991013969157,175
"59","France",93.0312745924486,142,89.2508198005618,163,81.330046355172,163,58.6677368903388,124,92.2260130789558,168
"60","French Guiana",86.2352941176471,99,84.3874159214782,152,75.1123828259507,158,NA,181,25,22
"61","Gabon",87.7019903502441,112,56.3185455937476,73,34.7476187928449,72,33.4656912921648,39,42.8849119901098,70
"62","Gambia",84.6551506103379,90,42.3783691269705,35,35.3390587938327,74,24.6638316895569,20,31.3060851752496,42
"63","Georgia",82.9974830865092,81,75.5006491634269,137,54.7647396139858,126,73.9698873912821,174,56.0093881217155,106
"64","Germany",94.8652811398378,153,93.7926454842886,171,87.7378326247673,171,68.0123420148507,157,94.9210621600482,172
"65","Ghana",87.3017993298138,111,62.4484481708879,91,47.028611526099,114,58.5255686693897,123,36.9505408222258,55
"66","Greece",86.8299917901026,105,80.1158726072829,145,51.8070011537348,122,47.7491238315049,85,78.3211705845521,148
"67","Guatemala",59.3367111504523,7,65.1694871186379,100,29.3872618621362,47,37.5992221435635,53,31.3977758973528,43
"68","Guinea",75.2035224664534,32,40.0567105332581,31,19.130079142642,19,17.5095409086049,7,29.1900569528713,31
"69","Guinea-Bissau",77.9342348637915,51,24.095006493157,7,17.4929623547714,14,19.0940842288794,10,28.3345035978131,30
"70","Guyana",76.5173822084366,38,61.8663328612214,89,37.3470786912998,82,43.685126032696,73,41.5059503447779,67
"71","Haiti",68.4730609864161,14,50.3206836113814,58,15.8449186966775,8,17.7490491685486,8,6.11097107946396,4
"72","Honduras",72.7619996679637,24,63.1630799178688,94,26.4771921304585,36,40.3052440676125,60,29.214132393921,32
"73","Hungary",93.7880325910644,146,84.191372601687,151,60.1640985434955,133,59.8048354059621,128,82.2324545347249,154
"74","Iceland",98.3730784941446,175,90.8896748031173,168,88.0345215018582,172,67.4846931682864,154,97.7809785011412,177
"75","India",76.3329744688639,36,65.0436971914707,99,41.7361342612599,95,42.9046516562616,70,45.6502539310855,78
"76","Indonesia",83.9803674997267,86,57.824355022084,77,36.3686608033342,78,46.404117224632,80,44.8553357107107,74
"77","Iran, Islamic Republic of",77.0082859955704,44,46.603378847482,42,30.8790231528925,55,43.673581914944,72,57.4693480726644,111
"78","Iraq",69.5969875020619,17,51.6437999582324,61,18.6204534822625,17,55.8687051927896,117,48.4083102781228,83
"79","Ireland",95.9342145267804,163,93.4290979768926,170,85.3555314108078,168,69.7787490967777,162,90.8737774737091,165
"80","Israel",79.8791277025056,62,84.5968894211219,154,71.9244358565967,153,70.7106661230743,167,77.5886950450802,147
"81","Italy",92.7984879470634,140,83.6659168149582,148,54.1730252408644,125,49.8637742936591,92,86.8521285810593,160
"82","Jamaica",79.531936521036,60,75.504847998001,138,42.3476445838255,98,50.7091732605321,97,51.9099216422912,101
"83","Japan",96.2352941176471,166,88.2362816308715,162,82.6135283296087,165,64.2898547903199,145,91.8375452852345,167
"84","Jordan",82.6814469592692,80,65.5910417350452,102,51.7079253762671,121,51.8793940746916,101,63.1718468373852,127
"85","Kazakhstan",83.1403591176187,82,58.1819640145792,79,32.945443159011,63,67.74264688959,155,61.7728506642501,122
"86","Kenya",76.317103042302,35,52.3731143026314,62,28.7619197543821,45,38.3776335131982,56,29.5335845901174,33
"87","Kiribati",99.0588235294118,176,65.27161815471,101,43.2210328190228,101,31.1541425090869,31,31.8707277844793,44
"88","Korea, Democratic People's Republic of",86.1919888617052,97,33.7520938023451,21,13.1857074068129,3,NA,182,0,1
"89","Korea, Republic of",90.6050724420518,131,74.8936777428344,135,68.9127729831247,146,75.3526417264147,175,81.1871733011661,153
"90","Kosovo",70.7058823529412,18,52.728285077951,65,36.2559487308231,76,42.5199585562402,67,NA,182
"91","Kuwait",90.2149633754484,129,47.7174290159036,49,49.5570844942704,117,48.9322549504157,87,76.4425010052272,145
"92","Kyrgyzstan",79.9225819966602,63,62.1537569824183,90,25.8228763253889,34,54.9165880766877,113,51.7298109372718,99
"93","Lao People's Democratic Republic",86.9411290039982,106,42.8202174760291,37,27.0142275669914,38,35.5578508262244,47,34.2746460700118,47
"94","Latvia",90.9555314750513,133,84.4140897509075,153,61.8640191127628,136,67.3739075899703,153,74.7853614916971,142
"95","Lebanon",75.4066382314625,33,66.3840732989372,106,33.0981278217459,65,51.2061692608415,99,55.940892641737,105
"96","Lesotho",74.6184655596742,31,48.4948986253632,54,44.565456273999,106,34.6778112267095,42,26.7590475447451,26
"97","Liberia",82.6599812629175,79,27.4130451052286,11,27.9327534478288,41,23.6259062135029,16,24.7448323321071,21
"98","Libya",76.4000718921968,37,25.8942261418451,9,16.995330186285,12,40.4173740866183,61,37.0778045838359,56
"99","Lithuania",92.9685230054632,141,86.580265842949,159,63.5828404923882,138,68.8887970538035,159,79.8764120691276,149
"100","Luxembourg",99.2148298851876,180,97.5101938795686,179,92.2459279745712,175,58.7576731181637,125,98.3112183353438,179
"101","Macedonia, the former Yugoslav Republic of",84.8314902957915,91,73.307144482621,132,46.442727560818,112,54.3873954874191,109,56.0587492773367,107
"102","Madagascar",79.6778371272269,61,52.3975117013487,63,28.9187714438971,46,23.901113394852,18,24.1509681187948,19
"103","Malawi",87.9893590482078,115,30.3456779069811,15,39.202393348122,87,27.1152710777733,23,21.780582411625,15
"104","Malaysia",88.2050350378024,117,58.1677877136238,78,62.57771247721,137,70.9391800080267,168,61.4521281809689,121
"105","Maldives",85.2098160943543,94,61.4581018359376,87,39.9447586005375,89,54.4097677609196,110,59.3905472636816,118
"106","Mali",69.3572054755663,16,56.7730437408929,74,29.5103143344349,48,23.7422142530562,17,30.0187842452394,37
"107","Malta",96.9033037261531,170,90.0655840449463,165,76.1199561827703,160,50.7942894535963,98,75.7488942501005,143
"108","Mauritania",78.111610690615,53,44.3904597910389,39,30.0202315152064,51,24.6875985208147,21,27.2070888020693,28
"109","Mauritius",95.3497900535748,157,77.9059551655829,141,65.4101863398346,142,62.8134726465758,140,65.0452802333327,130
"110","Mexico",73.3967119605617,26,72.5708295427717,128,43.3450730310027,102,55.7441807780396,116,51.1275048160884,93
"111","Moldova, Republic of",86.4230476003068,100,69.3896356317594,115,36.7374032323781,80,56.134122909997,119,57.8985450711861,112
"112","Mongolia",89.2673080674476,123,69.4415862169201,116,36.6553042306811,79,61.3346404267567,137,51.8351647472329,100
"113","Montenegro",92.3500137257546,138,72.4529309882899,127,48.6816281791156,116,54.6665868511319,112,67.773631840796,134
"114","Morocco",84.4408003816806,89,62.8071801517778,92,42.967554123333,99,41.8764063384965,63,44.688209535355,72
"115","Mozambique",86.4237969438233,101,48.0154168414912,51,34.327297832323,69,29.2920640029912,27,19.2898995172909,12
"116","Myanmar",74.2864713350846,30,33.5669225329106,20,17.5249369972988,15,35.5027174111468,46,14.3144350623241,8
"117","Namibia",88.9480906483061,121,66.8537984073664,108,53.7748186743162,124,46.7592934167118,82,34.3439617353522,48
