"","Country","BattleDeaths","InterpersonalInjuries","PolStability","Voice","GovEffect","RegQuality","RuleofLaw","Corruption","BirthRegistration","DTF2012rank","BLeducationyears","tenyearavg","SI.POV.GINI","Health.Care.Capabilities","Vulnerability","NACount","dataraw$NACount"
"1","Afghanistan",50.5712008501594,82.6509027809195,10.8235294117647,4.52261306532664,16.5909090909091,18.6936936936937,29.3986636971047,22.8643216080402,35.7142857142857,4.25531914893617,17.4336283185841,73.0538502542479,92.5373134328358,25,4.00080418174507,0,0
"3","Albania",100,92.2667960787781,63.2941176470588,21.8592964824121,42.7272727272727,43.9189189189189,60.1336302895323,56.0301507537688,98.9795918367347,42.5531914893617,71.2389380530974,42.1566454843289,89.7014925373134,25,55.9911540008042,0,0
"4","Algeria",98.2996811902232,96.0034408753576,36,27.6381909547739,38.1818181818182,37.8378378378378,27.6169265033407,33.4170854271357,98.9795918367347,28.1914893617021,42.4778761061947,36.8291178285009,73.8557213930348,25,55.2472858866104,0,0
"7","Angola",100,86.7720139834656,58.1176470588235,7.28643216080402,26.5909090909091,27.2522522522523,34.5211581291759,29.1457286432161,34.6938775510204,6.91489361702128,NA,84.2444134329163,55.6218905472637,25,20.5267390430237,12.5,1
"9","Antigua and Barbuda",100,NA,90.3529411764706,72.3618090452261,77.7272727272727,61.036036036036,69.4877505567929,72.6130653266332,NA,62.2340425531915,NA,25.3115959823434,NA,50,NA,62.5,5
"10","Argentina",100,92.0594975885206,68.9411764705882,27.6381909547739,39.5454545454545,44.5945945945946,34.9665924276169,62.5628140703518,100,32.4468085106383,67.5221238938053,44.3349724190389,53.3582089552239,50,74.7285886610374,0,0
"11","Armenia",100,96.9555845620626,69.6470588235294,26.6331658291457,46.5909090909091,49.3243243243243,63.6971046770601,41.4572864321608,100,72.8723404255319,78.3185840707965,64.038140186748,86.3681592039801,25,66.2243667068757,0,0
"13","Australia",100,98.9004314299728,90.5882352941177,90.2010050251256,95.4545454545455,86.4864864864865,95.7683741648107,93.7185929648241,100,93.6170212765958,85.4867256637168,32.2239058953181,77.1393034825871,100,99.7587454764777,0,0
"14","Austria",100,99.6114666799238,98.1176470588235,73.8693467336684,97.5,85.3603603603604,89.9777282850779,92.713567839196,100,90.4255319148936,68.3185840707965,22.5864413073555,87.0149253731343,100,99.3365500603136,0,0
"15","Azerbaijan",99.8339532412327,93.9689397073172,50.8235294117647,13.0653266331658,37.2727272727273,32.6576576576577,45.8797327394209,24.6231155778894,93.8775510204082,61.1702127659574,NA,96.8639758509371,79.5771144278607,25,59.9517490952955,12.5,1
