Country,Health-Care Capabilities,continent,region
Burundi,2,Africa,Eastern Africa
Comoros,2,Africa,Eastern Africa
Djibouti,2,Africa,Eastern Africa
Eritrea,2,Africa,Eastern Africa
Ethiopia,1,Africa,Eastern Africa
Kenya,2,Africa,Eastern Africa
Madagascar,1,Africa,Eastern Africa
Malawi,1,Africa,Eastern Africa
Mauritius,3,Africa,Eastern Africa
Mayotte,,Africa,Eastern Africa
Mozambique,1,Africa,Eastern Africa
Reunion,,Africa,Eastern Africa
Rwanda,2,Africa,Eastern Africa
Seychelles,4,Africa,Eastern Africa
Somalia,1,Africa,Eastern Africa
"Tanzania, United Republic of",2,Africa,Eastern Africa
Uganda,2,Africa,Eastern Africa
Zambia,2,Africa,Eastern Africa
Zimbabwe,1,Africa,Eastern Africa
Angola,2,Africa,Middle Africa
Cameroon,2,Africa,Middle Africa
Central African Republic,1,Africa,Middle Africa
Chad,1,Africa,Middle Africa
"Congo, the Democratic Republic of the",1,Africa,Middle Africa
Congo,1,Africa,Middle Africa
Equatorial Guinea,1,Africa,Middle Africa
Gabon,2,Africa,Middle Africa
Sao Tome and Principe,2,Africa,Middle Africa
Algeria,2,Africa,Northern Africa
Egypt,3,Africa,Northern Africa
Libya,2,Africa,Northern Africa
Morocco,2,Africa,Northern Africa
South Sudan,1,Africa,Northern Africa
Sudan,1,Africa,Northern Africa
Tunisia,3,Africa,Northern Africa
Western Sahara,2,Africa,Northern Africa
Botswana,3,Africa,Southern Africa
Lesotho,2,Africa,Southern Africa
Namibia,3,Africa,Southern Africa
South Africa,4,Africa,Southern Africa
Swaziland,2,Africa,Southern Africa
Benin,1,Africa,Western Africa
Burkina Faso,1,Africa,Western Africa
Cabo Verde,,Africa,Western Africa
Cote d'Ivoire,1,Africa,Western Africa
Gambia,2,Africa,Western Africa
Ghana,2,Africa,Western Africa
Guinea,1,Africa,Western Africa
Guinea-Bissau,1,Africa,Western Africa
Liberia,1,Africa,Western Africa
Mali,1,Africa,Western Africa
Mauritania,1,Africa,Western Africa
Niger,1,Africa,Western Africa
Nigeria,1,Africa,Western Africa
"Saint Helena, Ascension and Tristan da Cunha",,Africa,Western Africa
Senegal,2,Africa,Western Africa
Sierra Leone,1,Africa,Western Africa
Togo,1,Africa,Western Africa
Anguilla,,Americas,Caribbean
Antigua and Barbuda,3,Americas,Caribbean
Aruba,,Americas,Caribbean
Bahamas,2,Americas,Caribbean
Barbados,3,Americas,Caribbean
"Bonaire, Sint Eustatius and Saba",,Americas,Caribbean
Cayman Islands,,Americas,Caribbean
Cuba,2,Americas,Caribbean
Curacao,,Americas,Caribbean
Dominica,4,Americas,Caribbean
Dominican Republic,3,Americas,Caribbean
Grenada,3,Americas,Caribbean
