"","Country","peaceavg","peacerank","justavg","justrank","instavg","instrank","econavg","econrank","resilavg","resilrank"
"1","Afghanistan",54.8828594798844,5,19.2174050383006,8,23.2780335777453,16,30.4120349468946,31,61.1173366394863,107
"2","Albania",88.8609640295743,109,54.5075078124119,91,53.2153092582042,105,59.3076661466515,144,59.627748725312,105
"3","Algeria",78.2630625556308,38,55.6661138750691,99,33.1189610908811,36,31.159316275621,37,57.3513864825676,96
"4","Angola",84.3654625434318,69,22.7372209248542,13,27.1968684372772,25,44.4233932253419,81,52.4094031087021,79
"5","Antigua and Barbuda",94.4047619047619,144,73.4846177276881,144,67.6523721447425,137,39.0880767993514,63,50,59
"6","Argentina",87.5190144888578,97,55.7941584594037,100,46.5021298314713,85,53.2954924778819,121,63.526218746523,114
"7","Armenia",89.0047030721472,111,58.8858428943717,110,51.2306292163128,102,59.8606774517199,148,63.2024736099411,113
"8","Australia",96.4288426009439,164,92.9473945465417,172,91.8490045648339,174,63.5917322664273,167,87.8240939427817,166
"9","Austria",99.0947971453802,180,91.4791123746348,169,89.3307158132891,172,48.6798551203839,93,91.5301200776381,172
"10","Azerbaijan",84.9847259213671,80,50.5584323281551,75,35.9573154662131,48,76.9190336972202,178,61.139951643981,108
"11","Bahamas",97.3586690859958,171,71.4074186888686,140,69.4645884768565,138,31.8280485411128,40,55.2050053248136,88
"12","Bahrain",77.8414620199512,34,57.2545436084882,105,51.7889345785132,103,52.3720713189429,115,84.4826056088037,154
"13","Bangladesh",73.5503301818388,22,28.0034070012748,20,37.3454526094005,53,29.7635920284723,28,46.121230906172,44
"14","Barbados",98.7202550435114,176,79.0520188174772,154,77.4810695982341,154,41.953936420821,71,72.994320198793,136
"15","Belarus",88.0864308881838,102,54.0872733836487,88,25.7902576165429,22,62.9311703829501,164,70.0429252389102,130
"16","Belgium",95.7053429210452,158,89.223948285782,166,87.3097386677346,169,52.3088256487033,114,89.160798775028,169
"17","Belize",89.7958779441361,120,60.1899798061845,115,54.8652594744042,109,53.3020816763285,122,43.8224744223504,37
"18","Benin",90.2578908212868,123,46.6793019031825,63,47.7518520124078,90,24.9161694847258,20,37.734040129491,18
"19","Bermuda",94.5238095238095,146,76.6592209022913,152,80.1836315200608,159,NA,180,NA,181
"20","Bhutan",94.8297155401813,149,73.7395787502397,145,47.0861012025179,87,49.7886902042798,102,54.295490951349,86
"21","Bolivia, Plurinational State of",84.9616055290868,79,43.983032682393,55,44.2838882489589,75,38.1581381639138,59,51.0380030977523,69
"22","Bosnia and Herzegovina",85.5258444956135,85,62.0170124434517,122,48.6797797264678,94,38.0066847803973,58,69.2756663964522,129
"23","Botswana",96.7141159368003,166,67.6904592682844,133,65.0577433591782,133,57.0296779711015,134,47.4268169270792,48
"24","Brazil",54.5078928845548,4,60.8431764082084,116,57.0842545228599,115,42.2902123794005,73,46.9136391171583,47
"25","Brunei Darussalam",97.0610161418302,168,63.5605983687007,126,64.559901918689,132,38.2399045294913,60,58.8347532836351,101
