"","Country","peaceavg","peacerank","justavg","justrank","instavg","instrank","econavg","econrank","resilavg","resilrank"
"1","Afghanistan",54.8828594798844,5,19.2174050383006,6,23.2780335777453,16,30.4120349468946,20,61.1173366394863,82
"2","Albania",88.8609640295743,105,54.5075078124119,78,53.2153092582042,105,59.3076661466515,109,59.627748725312,80
"3","Algeria",78.2630625556308,36,55.6661138750691,85,33.1189610908811,36,31.159316275621,24,57.3513864825676,76
"4","Angola",84.3654625434318,66,22.7372209248542,10,27.1968684372772,25,NA,141,52.4094031087021,61
"5","Antigua and Barbuda",NA,173,NA,155,67.6523721447425,137,NA,142,NA,141
"6","Argentina",87.5190144888578,93,55.7941584594037,86,46.5021298314713,85,53.2954924778819,90,63.526218746523,89
"7","Armenia",89.0047030721472,107,58.8858428943717,94,51.2306292163128,102,59.8606774517199,113,63.2024736099411,88
"8","Australia",96.4288426009439,154,92.9473945465417,144,91.8490045648339,174,63.5917322664273,131,87.8240939427817,129
"9","Austria",99.0947971453802,169,91.4791123746348,141,89.3307158132891,172,48.6798551203839,66,91.5301200776381,135
"10","Azerbaijan",84.9847259213671,77,50.5584323281551,63,35.9573154662131,48,NA,143,61.139951643981,83
"11","Bahamas",97.3586690859958,161,NA,156,69.4645884768565,138,NA,144,NA,142
"12","Bahrain",77.8414620199512,32,NA,157,51.7889345785132,103,52.3720713189429,84,NA,143
"13","Bangladesh",73.5503301818388,20,28.0034070012748,16,37.3454526094005,53,29.7635920284723,17,46.121230906172,33
"14","Barbados",98.7202550435114,165,NA,158,77.4810695982341,154,41.953936420821,48,NA,144
"15","Belarus",88.0864308881838,98,54.0872733836487,75,25.7902576165429,22,NA,145,70.0429252389102,103
"16","Belgium",95.7053429210452,148,89.223948285782,138,87.3097386677346,169,52.3088256487033,83,89.160798775028,132
"17","Belize",89.7958779441361,116,60.1899798061845,99,54.8652594744042,109,53.3020816763285,91,43.8224744223504,26
"18","Benin",90.2578908212868,119,46.6793019031825,53,47.7518520124078,90,24.9161694847258,12,37.734040129491,10
"19","Bermuda",NA,174,NA,159,80.1836315200608,159,NA,146,NA,145
"20","Bhutan",94.8297155401813,139,73.7395787502397,121,47.0861012025179,87,NA,147,54.295490951349,68
"21","Bolivia, Plurinational State of",84.9616055290868,76,43.983032682393,46,44.2838882489589,75,38.1581381639138,39,51.0380030977523,54
"22","Bosnia and Herzegovina",85.5258444956135,81,62.0170124434517,105,48.6797797264678,94,NA,148,69.2756663964522,102
"23","Botswana",96.7141159368003,156,67.6904592682844,114,65.0577433591782,133,57.0296779711015,101,47.4268169270792,37
"24","Brazil",54.5078928845548,4,60.8431764082084,100,57.0842545228599,115,42.2902123794005,50,46.9136391171583,36
"25","Brunei Darussalam",97.0610161418302,158,NA,160,64.559901918689,132,38.2399045294913,40,NA,146
"26","Bulgaria",89.8298511263675,117,61.6633386356201,104,61.760908397808,127,60.0616853829342,115,70.6022249420275,105
"27","Burkina Faso",81.8125868783226,52,48.4877201295112,59,45.6193309428852,80,NA,149,42.9734183184186,24
"28","Burundi",77.7281119682516,31,37.0849832470302,29,31.2479434508327,34,24.4882102849667,11,55.5569684414279,70
"29","Cabo Verde",94.9156830773112,141,72.0778195191841,119,61.6652079015526,126,NA,150,NA,147
"30","Cambodia",86.7022786732361,88,36.3432271747837,28,36.1741553956419,49,41.9539970636969,49,49.0323939408389,43
"31","Cameroon",83.4432111996548,59,34.0570390677001,25,31.8089710958078,35,30.7287229379963,21,48.6577142685578,42
"32","Canada",96.3307666278772,153,93.7839148926569,146,92.5640953523193,175,59.8001712855684,111,89.0325263988895,131
"33","Central African Republic",70.9889969583673,14,29.4051285522501,19,19.184332690651,10,14.5959992722628,2,32.6357915781405,3
"34","Chad",79.2452624418011,40,15.5859026861159,2,23.3995058777225,17,NA,151,38.0904140991881,11
"35","Chile",91.0720387092667,122,87.5181913561444,137,83.7730409197376,164,59.8374806004166,112,56.8146752923349,74
"36","China",75.7162782417183,26,NA,161,38.1816948717525,55,61.2366197502903,123,56.8204340510343,75
"37","Colombia",69.357818912602,13,57.0559898918108,90,56.2434278158983,113,57.3550173989411,103,43.2068094034619,25
"38","Comoros",86.5518133768152,87,47.1683532451123,56,29.3277965628191,32,NA,152,33.5546530747046,5
"39","Congo",84.471396620249,67,43.9587775408671,45,25.1947348212737,20,27.0230107660769,14,45.1231153427043,31
"40","Congo, the Democratic Republic of the",58.4321400440591,6,18.1411536422197,4,20.0205568904633,12,11.7766958051606,1,NA,148
"41","Costa Rica",93.5421242700452,135,73.7976782752902,122,70.8029865463323,140,51.4555910658928,80,NA,149
"42","Cote d'Ivoire",78.6822555410537,38,39.6413623492515,35,34.2056843328627,41,21.5546740281288,7,40.536375629838,17
"43","Croatia",93.3044475806119,134,NA,162,66.5410821284759,135,52.8973519279537,85,79.4082833966483,113
"44","Cuba",91.1611718890929,124,61.3593032569578,103,26.8334148727984,23,NA,153,NA,150
"45","Cyprus",92.6132704685033,132,82.9666858451507,132,79.2803462709285,158,49.6952416563279,74,NA,151
"46","Czech Republic",96.7601975549684,157,74.2602181834591,124,76.9583792637915,152,68.7926905117201,138,86.3653157711619,124
"47","Denmark",96.0028602790246,152,99.244142101285,154,96.612348309071,182,57.6268973486481,104,86.5861586635513,125
"48","Djibouti",87.4951159497694,92,53.0121501336853,72,28.8255125976753,31,NA,154,50.7906774257926,52
"49","Dominican Republic",89.4957372882055,110,47.609458377049,58,50.1774678934056,97,49.5335268663863,73,52.5232905405525,62
"50","Ecuador",85.4943118647345,80,49.4861294434855,61,40.879509786112,60,44.4255323800023,56,48.0313201475759,40
"51","Egypt",74.4142912556342,22,55.2757753184192,81,33.2919701173343,38,38.9468355062308,42,75.8011769339317,110
"52","El Salvador",85.5501262130542,83,56.7440574903261,88,54.9451475073007,110,43.9145710822269,55,40.7571037252502,18
"53","Equatorial Guinea",89.0535317843496,108,26.1526832955404,15,14.6950596029406,5,NA,155,NA,152
"54","Eritrea",82.0746278159188,53,NA,163,7.59422538884348,3,NA,156,NA,153
"55","Estonia",94.2593044546547,136,83.0981148678377,133,81.3462225896659,160,63.6432085641196,132,82.3602258498067,119
"56","Ethiopia",71.2947868490632,15,24.6612741282251,12,30.7986902422376,33,NA,157,50.5235448600095,50
"57","Fiji",88.237462109556,100,NA,164,35.6674357868111,45,50.8980655964663,77,52.3423969962046,60
"58","Finland",99.2320693163744,170,97.8734445685405,150,97.6625602772755,183,57.3384269398837,102,94.9814028897048,137
"59","France",91.4342012028263,126,86.4876298778218,135,83.9202308358173,165,50.7548338489461,76,91.2150906807814,134
"60","French Guiana",NA,175,NA,165,81.4014449343693,161,NA,158,NA,154
"61","Gabon",91.112072004518,123,53.150912106136,73,36.7658661349055,50,30.2400883596134,18,53.284270871415,63
"62","Gambia",87.9953759215439,97,38.8759152085378,33,35.2689348743948,43,23.8993070252471,10,41.9994542728318,21
