Country,reppeace,repjust,repinst,repecon,represil,repsum
BENIN,0,0,0,1,1,2
BURKINA FASO,0,0,0,1,1,2
KIRIBATI,0,0,0,1,1,2
SAO TOME AND PRINCIPE,0,0,0,1,1,2
SURINAME,0,0,0,1,1,2
DJIBOUTI,0,0,1,1,0,2
COMOROS,0,0,1,1,1,3
"CONGO, REPUBLIC OF",0,0,1,1,1,3
MADAGASCAR,0,0,1,1,1,3
SIERRA LEONE ,0,0,1,1,1,3
PAPUA NEW GUINEA,0,1,0,0,1,2
SOLOMON ISLANDS,0,1,0,0,1,2
ZAMBIA,0,1,0,0,1,2
GAMBIA,0,1,0,1,1,3
MALAWI,0,1,0,1,1,3
MOZAMBIQUE,0,1,0,1,1,3
NIGER,0,1,0,1,1,3
TIMOR-LESTE,0,1,0,1,1,3
CAMBODIA,0,1,1,0,0,2
FIJI,0,1,1,0,0,2
TAJIKISTAN,0,1,1,0,0,2
TURKMENISTAN,0,1,1,0,0,2
ANGOLA,0,1,1,0,1,3
LIBERIA,0,1,1,0,1,3
CAMEROON,0,1,1,1,0,3
LAO PEOPLE'S DEMOCRATIC REPUBLIC,0,1,1,1,0,3
EQUATORIAL GUINEA,0,1,1,1,1,4
ERITREA,0,1,1,1,1,4
GUINEA-BISSAU,0,1,1,1,1,4
MAURITANIA,0,1,1,1,1,4
TOGO,0,1,1,1,1,4
ZIMBABWE,0,1,1,1,1,4
HONDURAS,1,0,0,1,1,3
LESOTHO,1,0,0,1,1,3
MALI,1,0,0,1,1,3
"PALESTINIAN TERRITORY, OCCUPIED",1,0,0,1,1,3
"IRAN, ISLAMIC REPUBLIC OF",1,0,1,0,0,2
IRAQ,1,0,1,0,0,2
COLOMBIA,1,0,0,0,1,2
GUATEMALA,1,0,0,0,1,2
PARAGUAY,1,0,0,0,1,2
RWANDA,1,0,0,0,1,2
ALGERIA,1,0,1,1,0,3
SYRIAN ARAB REPUBLIC,1,0,1,1,0,3
INDIA,1,1,0,0,0,2
KOSOVO,1,1,0,0,0,2
PANAMA,1,1,0,0,0,2
KENYA,1,1,0,0,1,3
UGANDA,1,1,0,0,1,3
AFGHANISTAN,1,1,1,1,0,4
BURUNDI,1,1,1,1,0,4
NEPAL,1,1,1,1,0,4
SOUTH SUDAN,1,1,1,1,0,4
BANGLADESH,1,1,1,0,0,3
LIBYAN ARAB JAMAHIRIYA,1,1,1,0,0,3
MYANMAR,1,1,1,0,0,3
PAKISTAN,1,1,1,0,0,3
"VENEZUELA, BOLIVARIAN REPUBLIC OF",1,1,1,0,0,3
ETHIOPIA,1,1,1,0,1,4
NIGERIA,1,1,1,0,1,4
SOMALIA,1,1,1,0,1,4
CENTRAL AFRICAN REPUBLIC,1,1,1,1,1,5
CHAD,1,1,1,1,1,5
"CONGO, THE DEMOCRATIC REPUBLIC OF",1,1,1,1,1,5
COTE D'IVOIRE,1,1,1,1,1,5
GUINEA,1,1,1,1,1,5
HAITI,1,1,1,1,1,5
SUDAN,1,1,1,1,1,5
SWAZILAND,1,1,1,1,1,5
YEMEN,1,1,1,1,1,5
