Country/Territory,WBCode,PolStability,Voice,GovEffect,RegQuality,RuleofLaw,Corruption
AFGHANISTAN,AFG,-2.47,-1.29,-1.43,-1.21,-1.67,-1.43
ALBANIA,ALB,0.06,0.04,-0.33,0.18,-0.57,-0.72
ALGERIA,DZA,-1.17,-0.89,-0.60,-1.19,-0.68,-0.48
AMERICAN SAMOA,ASM,0.97,1.04,0.48,0.36,1.14,0.35
ANDORRA,ADO,1.32,1.40,1.53,1.55,1.43,1.29
ANGOLA,AGO,-0.37,-1.12,-1.26,-1.05,-1.28,-1.32
ANGUILLA,AIA,1.59,1.04,1.53,1.31,1.40,1.29
ANTIGUA AND BARBUDA,ATG,0.98,0.65,0.48,0.60,0.86,1.29
ARGENTINA,ARG,0.06,0.24,-0.29,-0.99,-0.73,-0.46
ARMENIA,ARM,0.07,-0.60,0.07,0.23,-0.31,-0.47
ARUBA,ABW,1.34,1.25,1.21,1.44,1.30,1.13
AUSTRALIA,AUS,1.02,1.44,1.62,1.79,1.75,1.76
AUSTRIA,AUT,1.34,1.46,1.57,1.48,1.83,1.51
AZERBAIJAN,AZE,-0.41,-1.35,-0.46,-0.43,-0.67,-0.90
"BAHAMAS, THE",BHS,1.12,0.91,0.86,0.16,0.60,1.36
BAHRAIN,BHR,-1.34,-1.32,0.58,0.60,0.35,0.45
BANGLADESH,BGD,-1.61,-0.42,-0.82,-0.93,-0.83,-0.89
BARBADOS,BRB,1.29,1.18,1.35,0.43,1.00,1.61
BELARUS,BLR,-0.03,-1.54,-0.94,-1.09,-0.89,-0.52
BELGIUM,BEL,0.92,1.37,1.59,1.29,1.40,1.63
BELIZE,BLZ,0.17,0.70,-0.19,-0.49,-0.45,0.02
BENIN,BEN,0.28,0.12,-0.55,-0.42,-0.63,-0.83
BERMUDA,BMU,0.99,1.04,1.00,1.31,1.14,1.29
BHUTAN,BTN,0.80,-0.18,0.36,-1.10,0.24,0.82
BOLIVIA,BOL,-0.35,-0.10,-0.40,-0.79,-1.07,-0.59
BOSNIA AND HERZEGOVINA,BIH,-0.37,-0.16,-0.45,-0.08,-0.17,-0.22
BOTSWANA,BWA,1.06,0.47,0.28,0.66,0.59,0.92
BRAZIL,BRA,-0.28,0.37,-0.08,0.07,-0.12,-0.12
BRUNEI DARUSSALAM,BRN,1.08,-0.50,0.86,1.10,0.61,0.72
BULGARIA,BGR,0.18,0.32,0.15,0.52,-0.14,-0.29
BURKINA FASO,BFA,-0.75,-0.29,-0.62,-0.17,-0.53,-0.58
BURUNDI,BDI,-1.30,-0.97,-1.07,-0.87,-1.06,-1.39
CAMBODIA,KHM,-0.16,-0.98,-0.92,-0.35,-0.99,-1.01
CAMEROON,CMR,-0.52,-1.04,-0.86,-0.93,-1.05,-1.19
CANADA,CAN,1.03,1.46,1.77,1.71,1.74,1.87
CAPE VERDE,CPV,0.81,0.90,0.12,-0.12,0.48,0.77
CAYMAN ISLANDS,CYM,1.06,0.51,1.21,1.11,0.89,1.36
CENTRAL AFRICAN REPUBLIC,CAF,-2.15,-1.53,-1.78,-1.13,-1.83,-1.04
CHAD,TCD,-1.10,-1.38,-1.50,-1.02,-1.37,-1.28
CHILE,CHL,0.37,1.09,1.25,1.48,1.34,1.52
CHINA,CHN,-0.55,-1.58,-0.03,-0.31,-0.46,-0.35
COLOMBIA,COL,-1.27,-0.12,0.04,0.39,-0.45,-0.44
COMOROS,COM,-0.24,-0.52,-1.44,-1.26,-0.99,-0.73
"CONGO, DEM. REP.",ZAR,-2.23,-1.47,-1.59,-1.28,-1.55,-1.30
"CONGO, REP.",COG,-0.47,-1.12,-1.22,-1.36,-1.09,-1.19
COOK ISLANDS,COK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
COSTA RICA,CRI,0.67,1.05,0.47,0.58,0.50,0.59
CÔTE D'IVOIRE,CIV,-1.05,-0.77,-1.04,-0.73,-0.93,-0.79
CROATIA,HRV,0.61,0.47,0.69,0.44,0.26,0.11
CUBA,CUB,0.37,-1.40,-0.44,-1.62,-0.63,0.12
CYPRUS,CYP,0.52,0.97,1.35,0.91,1.00,1.24
CZECH REPUBLIC,CZE,1.05,0.96,0.88,1.09,1.00,0.19
DENMARK,DNK,0.95,1.68,1.97,1.80,1.87,2.41
DJIBOUTI,DJI,-0.12,-1.44,-1.18,-0.55,-0.76,-0.44
DOMINICA,DMA,1.20,0.99,0.71,0.27,0.63,0.69
DOMINICAN REPUBLIC,DOM,0.19,0.08,-0.49,-0.11,-0.53,-0.85
ECUADOR,ECU,-0.20,-0.29,-0.49,-0.94,-0.95,-0.61
"EGYPT, ARAB REP.",EGY,-1.62,-1.04,-0.89,-0.70,-0.60,-0.60
EL SALVADOR,SLV,-0.04,-0.05,-0.13,0.31,-0.68,-0.35
EQUATORIAL GUINEA,GNQ,0.08,-1.96,-1.59,-1.44,-1.32,-1.61
ERITREA,ERI,-0.78,-2.15,-1.54,-2.23,-1.39,-0.79
ESTONIA,EST,0.73,1.09,0.98,1.43,1.16,1.11
ETHIOPIA,ETH,-1.39,-1.29,-0.52,-1.13,-0.62,-0.50
FIJI,FJI,-0.03,-0.81,-0.96,-0.57,-0.84,-0.40
FINLAND,FIN,1.36,1.58,2.17,1.85,1.93,2.19
FRANCE,FRA,0.42,1.20,1.47,1.15,1.40,1.30
FRENCH GUIANA,GUF,0.22,1.13,1.07,1.30,1.14,1.13
GABON,GAB,0.34,-0.86,-0.77,-0.56,-0.52,-0.56
"GAMBIA, THE",GMB,-0.05,-1.25,-0.72,-0.37,-0.59,-0.70
GEORGIA,GEO,-0.46,0.10,0.53,0.74,-0.02,0.36
GERMANY,DEU,0.93,1.41,1.52,1.55,1.62,1.78
GHANA,GHA,0.02,0.41,-0.09,0.08,0.11,-0.07
GREECE,GRC,-0.20,0.65,0.45,0.62,0.44,-0.11
GREENLAND,GRL,1.91,1.24,0.91,1.40,1.69,1.23
GRENADA,GRD,0.42,0.82,0.27,0.35,0.16,0.41
GUAM,GUM,0.83,0.83,-0.04,0.60,1.14,0.82
GUATEMALA,GTM,-0.69,-0.40,-0.71,-0.21,-1.11,-0.58
GUINEA,GIN,-1.23,-1.06,-1.32,-1.01,-1.42,-1.06
GUINEA-BISSAU,GNB,-0.93,-1.41,-1.44,-1.30,-1.62,-1.33
GUYANA,GUY,-0.44,-0.01,-0.16,-0.62,-0.52,-0.64
HAITI,HTI,-0.66,-0.79,-1.53,-0.95,-1.30,-1.15
HONDURAS,HND,-0.47,-0.51,-0.74,-0.20,-1.23,-0.95
"HONG KONG SAR, CHINA",HKG,0.88,0.70,1.73,1.93,1.54,1.63
HUNGARY,HUN,0.78,0.73,0.64,0.89,0.56,0.29
ICELAND,ISL,1.26,1.46,1.48,1.09,1.65,1.90
INDIA,IND,-1.19,0.41,-0.19,-0.47,-0.10,-0.56
INDONESIA,IDN,-0.50,0.00,-0.24,-0.20,-0.55,-0.62
"IRAN, ISLAMIC REP.",IRN,-1.27,-1.60,-0.70,-1.50,-0.98,-0.68
IRAQ,IRQ,-1.99,-1.10,-1.08,-1.26,-1.47,-1.25
IRELAND,IRL,0.88,1.31,1.46,1.58,1.72,1.54
ISRAEL,ISR,-1.09,0.63,1.22,1.16,0.95,0.84
ITALY,ITA,0.51,0.93,0.45,0.77,0.36,-0.04
JAMAICA,JAM,0.18,0.50,-0.02,0.23,-0.39,-0.37
JAPAN,JPN,0.98,1.10,1.59,1.10,1.41,1.65
"JERSEY, CHANNEL ISLANDS",JEY,1.48,1.24,1.34,1.19,1.69,1.23
JORDAN,JOR,-0.62,-0.82,-0.11,0.11,0.39,0.09
KAZAKHSTAN,KAZ,-0.38,-1.22,-0.54,-0.38,-0.67,-0.90
KENYA,KEN,-1.15,-0.24,-0.49,-0.35,-0.74,-1.06
KIRIBATI,KIR,1.32,0.82,-0.85,-1.38,0.14,-0.04
"KOREA, DEM. REP.",PRK,-0.53,-2.19,-1.93,-2.52,-1.29,-1.36
"KOREA, REP.",KOR,0.24,0.69,1.12,0.98,0.94,0.55
KOSOVO,KSV,-0.98,-0.27,-0.41,-0.04,-0.57,-0.64
KUWAIT,KWT,0.14,-0.65,-0.07,-0.09,0.39,-0.15
KYRGYZ REPUBLIC,KGZ,-0.91,-0.57,-0.69,-0.33,-1.14,-1.12
LAO PDR,LAO,0.06,-1.59,-0.76,-0.85,-0.77,-0.90
LATVIA,LVA,0.57,0.74,0.88,1.03,0.75,0.27
LEBANON,LBN,-1.69,-0.44,-0.39,-0.09,-0.78,-0.92
LESOTHO,LSO,0.33,0.08,-0.38,-0.35,-0.26,0.23
LIBERIA,LBR,-0.46,-0.45,-1.33,-0.92,-0.92,-0.68
LIBYA,LBY,-1.81,-1.00,-1.50,-1.83,-1.36,-1.52
LIECHTENSTEIN,LIE,1.41,1.46,1.73,1.56,1.59,1.83
LITHUANIA,LTU,0.92,0.92,0.82,1.13,0.79,0.36
LUXEMBOURG,LUX,1.33,1.61,1.62,1.76,1.79,2.11
"MACAO SAR, CHINA",MAC,0.77,-0.30,1.04,1.33,0.63,0.59
"MACEDONIA, FYR",MKD,-0.37,-0.04,-0.06,0.32,-0.20,0.02
MADAGASCAR,MDG,-0.71,-0.78,-1.12,-0.67,-0.90,-0.69
MALAWI,MWI,-0.22,-0.19,-0.56,-0.68,-0.19,-0.64
MALAYSIA,MYS,0.05,-0.32,1.10,0.62,0.48,0.41
MALDIVES,MDV,0.14,-0.43,-0.28,-0.39,-0.68,-0.51
MALI,MLI,-1.69,-0.30,-0.84,-0.50,-0.75,-0.73
MALTA,MLT,1.01,1.13,1.25,1.29,1.32,0.99
MARSHALL ISLANDS,MHL,1.10,1.20,-1.58,-1.10,0.13,-0.02
MARTINIQUE,MTQ,0.67,0.61,0.74,0.83,0.88,0.82
MAURITANIA,MRT,-1.02,-0.93,-0.90,-0.70,-0.95,-0.68
MAURITIUS,MUS,0.94,0.89,0.88,0.94,0.90,0.30
MEXICO,MEX,-0.74,0.08,0.31,0.46,-0.58,-0.48
"MICRONESIA, FED. STS.",FSM,1.11,1.02,-0.56,-0.97,0.07,-0.17
MOLDOVA,MDA,-0.03,-0.11,-0.40,-0.09,-0.41,-0.74
MONACO,MCO,1.06,0.83,#N/A,#N/A,0.94,#N/A
MONGOLIA,MNG,0.50,0.07,-0.54,-0.29,-0.37,-0.46
MONTENEGRO,MNE,0.49,0.18,0.16,0.05,0.02,-0.25
MOROCCO,MAR,-0.50,-0.72,-0.07,-0.17,-0.25,-0.36
MOZAMBIQUE,MOZ,-0.27,-0.29,-0.65,-0.41,-0.85,-0.65
