Country/Territory,WBCode,PolStability,Voice,GovEffect,RegQuality,RuleofLaw,Corruption
AFGHANISTAN,AFG,-2.39,-1.41,-1.72,-1.40,-1.21,-1.32
ALBANIA,ALB,-0.16,-0.72,-0.57,-0.28,0.17,0.00
ALGERIA,DZA,-1.32,-0.49,-0.77,-0.55,-1.29,-0.90
AMERICAN SAMOA,ASM,0.99,0.35,1.14,0.48,0.36,1.06
ANDORRA,ADO,1.32,1.29,1.43,1.52,1.55,1.43
ANGOLA,AGO,-0.38,-1.30,-1.28,-1.02,-0.98,-1.07
ANGUILLA,AIA,1.53,1.29,1.40,1.52,1.31,1.06
ANTIGUA AND BARBUDA,ATG,0.99,1.29,0.97,0.48,0.59,0.66
ARGENTINA,ARG,0.08,-0.49,-0.71,-0.25,-0.96,0.26
ARMENIA,ARM,0.11,-0.53,-0.40,-0.04,0.33,-0.58
ARUBA,ABW,1.30,1.11,1.32,1.23,1.42,1.26
AUSTRALIA,AUS,1.00,2.00,1.75,1.61,1.77,1.50
AUSTRIA,AUT,1.32,1.35,1.84,1.56,1.51,1.46
AZERBAIJAN,AZE,-0.69,-1.07,-0.81,-0.78,-0.47,-1.25
"BAHAMAS, THE",BHS,1.17,1.34,0.59,0.97,0.36,0.92
BAHRAIN,BHR,-1.14,0.39,0.28,0.54,0.69,-1.32
BANGLADESH,BGD,-1.35,-0.87,-0.91,-0.83,-0.96,-0.41
BARBADOS,BRB,1.22,1.66,0.99,1.45,0.42,1.18
BELARUS,BLR,0.02,-0.52,-0.92,-0.94,-1.10,-1.55
BELGIUM,BEL,0.90,1.55,1.40,1.59,1.22,1.35
BELIZE,BLZ,0.18,0.01,-0.44,-0.18,-0.48,0.70
BENIN,BEN,0.32,-0.93,-0.64,-0.54,-0.39,0.09
BERMUDA,BMU,1.00,1.29,1.14,1.00,1.31,1.06
BHUTAN,BTN,0.81,0.82,0.19,0.48,-1.12,-0.31
BOLIVIA,BOL,-0.50,-0.70,-1.04,-0.37,-0.83,-0.12
BOSNIA AND HERZEGOVINA,BIH,-0.54,-0.30,-0.23,-0.47,-0.06,-0.14
BOTSWANA,BWA,1.08,0.93,0.66,0.43,0.69,0.50
BRAZIL,BRA,0.05,-0.07,-0.11,-0.12,0.09,0.43
BRUNEI DARUSSALAM,BRN,0.92,0.64,0.81,0.83,1.16,-0.50
BULGARIA,BGR,0.35,-0.24,-0.12,0.14,0.54,0.38
BURKINA FASO,BFA,-0.59,-0.52,-0.43,-0.63,-0.12,-0.34
BURUNDI,BDI,-1.69,-1.46,-1.09,-1.34,-0.96,-0.91
CAMBODIA,KHM,-0.14,-1.04,-0.97,-0.83,-0.35,-0.96
CAMEROON,CMR,-0.58,-1.27,-1.03,-0.90,-0.93,-1.03
CANADA,CAN,1.09,1.92,1.75,1.75,1.69,1.44
CAPE VERDE,CPV,0.81,0.79,0.48,0.10,0.04,0.94
CAYMAN ISLANDS,CYM,1.00,1.35,0.89,1.23,1.10,0.54
CENTRAL AFRICAN REPUBLIC,CAF,-1.87,-0.89,-1.45,-1.46,-1.09,-1.26
CHAD,TCD,-1.06,-1.25,-1.45,-1.49,-1.08,-1.35
CHILE,CHL,0.34,1.56,1.37,1.25,1.54,1.06
CHINA,CHN,-0.55,-0.48,-0.49,0.01,-0.26,-1.59
COLOMBIA,COL,-1.40,-0.43,-0.39,0.01,0.39,-0.10
COMOROS,COM,-0.38,-0.73,-1.03,-1.55,-1.42,-0.52
"CONGO, DEM. REP.",ZAR,-2.14,-1.30,-1.65,-1.66,-1.51,-1.51
"CONGO, REP.",COG,-0.49,-1.19,-1.12,-1.20,-1.38,-1.15
COOK ISLANDS,COK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
COSTA RICA,CRI,0.63,0.58,0.47,0.49,0.57,1.06
CÔTE D'IVOIRE,CIV,-1.26,-0.87,-1.12,-1.11,-0.77,-0.81
CROATIA,HRV,0.58,-0.04,0.21,0.70,0.44,0.50
CUBA,CUB,0.32,0.30,-0.64,-0.42,-1.60,-1.43
CYPRUS,CYP,0.62,1.24,1.07,1.38,1.12,1.00
CZECH REPUBLIC,CZE,1.04,0.23,1.01,0.92,1.06,0.94
DENMARK,DNK,0.91,2.39,1.85,1.97,1.79,1.69
DJIBOUTI,DJI,0.17,-0.38,-0.78,-1.10,-0.44,-1.42
DOMINICA,DMA,1.07,0.69,0.62,0.66,0.28,0.97
DOMINICAN REPUBLIC,DOM,0.24,-0.83,-0.70,-0.55,-0.14,0.09
ECUADOR,ECU,-0.60,-0.66,-1.16,-0.51,-1.04,-0.33
"EGYPT, ARAB REP.",EGY,-1.46,-0.59,-0.46,-0.77,-0.49,-0.76
EL SALVADOR,SLV,0.22,-0.38,-0.75,-0.14,0.32,-0.07
EQUATORIAL GUINEA,GNQ,0.19,-1.56,-1.26,-1.65,-1.42,-1.88
ERITREA,ERI,-0.72,-0.65,-1.36,-1.51,-2.24,-2.15
ESTONIA,EST,0.60,0.98,1.13,0.96,1.40,1.09
ETHIOPIA,ETH,-1.54,-0.60,-0.66,-0.44,-1.07,-1.28
FIJI,FJI,-0.04,-0.44,-0.80,-0.90,-0.60,-0.87
FINLAND,FIN,1.38,2.22,1.94,2.21,1.82,1.62
FRANCE,FRA,0.55,1.42,1.43,1.33,1.11,1.22
FRENCH GUIANA,GUF,0.23,1.11,1.17,1.11,1.28,1.11
GABON,GAB,0.31,-0.55,-0.45,-0.78,-0.51,-0.87
