Country,WorldRiskIndex,Rank
Afghanistan,9.71,40
Albania ,10.17,37
Algeria,7.63,60
Angola,6.67,85
Argentina,3.68,131
Armenia,6.21,94
Australia,3.93,126
Austria,3.58,133
Azerbaijan,6.04,98
Bahamas,4.19,123
Bahrain,1.78,164
Bangladesh ,19.37,5
Barbados,1.21,168
Belarus,3.12,143
Belgium,3.41,139
Belize,6.59,86
Benin ,11.42,25
Bhutan,7.83,58
Bolivia,5.04,109
Bosnia a. Herzeg.,6.2,95
Botswana,5.45,105
Brazil,4.3,119
Brunei Darussalam ,16.23,12
Bulgaria,4.21,121
Burkina Faso,9.62,41
Burundi ,10.59,32
Cambodia ,17.12,9
Cameroon ,11.2,28
Canada,3.14,143
Cape Verde ,10.32,36
Centr. African Rep.,6.78,82
Chad ,11.28,27
Chile ,11.3,26
China,6.9,78
Colombia,6.83,79
Comoros,7.44,66
Congo,7.53,64
Costa Rica ,17.33,7
Cote d'Ivoire,9.29,42
Croatia,4.28,120
Cuba,6.42,89
Cyprus,2.76,150
Czech Republic,3.46,137
Denmark,2.93,149
Djibouti,9.93,39
Dom. Republic ,11.5,23
Ecuador,7.63,61
Egypt,2.29,159
El Salvador ,17.12,8
Equatorial Guinea,4.71,116
Eritrea,6.26,92
Estonia,2.43,156
Country WR,IRank,
Ethiopia,7.57,63
Fiji ,13.65,16
Finland,2.24,161
France,2.69,152
Gabon,6.26,92
Gambia ,12.23,19
Georgia,6.8,81
Germany,3.01,147
Ghana,8.77,46
Greece,7.1,71
Grenada,1.44,167
Guatemala ,20.68,4
Guinea,8.53,48
Guinea-Bissau ,13.75,15
Guyana ,11.81,22
Haiti ,12,21
Honduras ,10.8,31
Hungary,5.46,104
Iceland,1.56,166
India,7.04,73
Indonesia ,10.55,34
Iran,4.88,112
Iraq,4.84,113
Ireland,4.52,117
Israel,2.38,157
Italy,4.48,118
Jamaica ,12.2,20
Japan ,13.38,17
Jordan,4.75,115
Kazakhstan,3.74,129
Kenya,7,75
Kiribati,1.72,165
Korea. Republic of,4.8,114
Kuwait,3.34,140
Kyrgyzstan,8.33,50
Lao P. D. Republic,5.75,100
Latvia,3.45,138
Lebanon,5.01,110
Lesotho,7.03,74
Liberia,7.9,57
Libyan Arab Jam.,4,125
Lithuania,3.01,146
Luxembourg,2.52,153
Madagascar ,11.2,29
Malawi,8.21,53
Malaysia,6.51,88
Mali,8.85,45
Malta,0.62,170
Mauritania,8.17,54
Mauritius ,14.78,14
Mexico,6.27,91
Mongolia,3,148
Country WR,IRank,
Morocco,6.8,80
Mozambique,9.03,44
Myanmar,9.14,43
Namibia,5.61,100
Nepal,5.29,108
Netherlands,8.25,51
New Zealand,4.2,122
Nicaragua ,14.87,13
Niger ,11.45,24
Nigeria,8.24,52
Norway,2.31,158
Oman,2.74,151
Pakistan,7.07,72
Panama,7.41,68
Papua New Guinea ,16.74,10
Paraguay,3.74,130
Peru,6.91,77
Philippines ,28.25,2
Poland,3.28,141
Portugal,3.61,133
Qatar,0.08,171
Rep. of Moldova,4.92,111
Romania,6.55,86
Russia,3.85,128
Rwanda,7.3,69
Saudi Arabia,1.17,169
Senegal ,10.96,30
Serbia,6.91,76
Seychelles,2.51,154
Sierra Leone ,10.57,33
Singapore,2.25,160
Slovakia,3.57,135
Slovenia,3.64,132
Solomon Islands ,19.18,6
South Africa,5.38,106
Spain,3.2,142
Sri Lanka,7.43,67
Sudan,8.08,56
Suriname,8.42,49
Swaziland,7.66,59
Sweden,2.19,162
Switzerland,2.48,155
Syrian Arab Rep.,5.58,102
Tajikistan,7.17,70
Thailand,6.38,89
Rep. of Macedonia,6.14,96
Timor-Leste ,16.41,11
Togo ,10.47,35
Tonga ,28.23,3
Trinidad a. Tobago,7.49,65
Tunisia,5.47,103
Turkey,5.34,106
Turkmenistan,6.76,83
Uganda,6.69,84
Ukraine,3.11,145
Uni. Arab Emirates,1.91,163
United Kingdom,3.54,136
U. R. o. Tanzania,8.11,55
United States,3.88,127
Uruguay,4,124
Uzbekistan,8.67,47
Vanuatu ,36.5,1
Venezuela,5.85,99
Viet Nam ,13.09,18
Yemen,6.07,97
Zambia,7.61,62
Zimbabwe ,10.01,38
